0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:47:17 -0300] "GET /tcc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:47:17 -0300] "GET /tcc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:47:38 -0300] "GET /tcc/index.html HTTP/1.1" 200 13982
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:47:38 -0300] "GET /tcc/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:47:38 -0300] "GET /tcc/css/padrao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:47:39 -0300] "GET /tcc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:56:05 -0300] "GET /tcc/index.html HTTP/1.1" 200 14148
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:56:06 -0300] "GET /tcc/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:56:06 -0300] "GET /tcc/imagens/icones/forum.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:56:06 -0300] "GET /tcc/css/padrao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:56:07 -0300] "GET /tcc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:56:07 -0300] "GET /tcc/imagens/icones/forum.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:59:38 -0300] "GET /tcc/index.html HTTP/1.1" 200 14020
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:59:38 -0300] "GET /tcc/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:59:38 -0300] "GET /tcc/css/padrao.css HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:59:38 -0300] "GET /tcc/imagens/icones/about.png HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:59:38 -0300] "GET /tcc/js/padrao.js HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:59:38 -0300] "GET /tcc/imagens/logo/coliseu2.png HTTP/1.1" 200 39305
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:59:38 -0300] "GET /tcc/css/index.css HTTP/1.1" 200 6252
0:0:0:0:0:0:0:1 - - [18/Sep/2018:18:59:38 -0300] "GET /tcc/js/bootstrap.min.js HTTP/1.1" 200 37051
